'BABYFOOD,FRUIT,APPLSAUC,JR';37
'BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR';60
'BABYFOOD,VEG,CORN,CRMD,STR';57
'BABYFOOD,VEG,CORN,CRMD,JR';65
'BABYFOOD,VEG,PEAS,STR';50
'BABYFOOD,PEAS,DICES,TODD';64
'BABYFOOD,VEG,SPINACH,CRMD,STR';37
'BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR';63
'BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR';56
'BABYFOOD,FRUIT,PEACHES,STR';65
'BABYFOOD,FRUIT,PEACHES,JR';65
'BABYFOOD,FRUIT,PEARS,STR';42
'BABYFOOD,FRUIT,PEARS,JR';44
'BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR';71
'BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR';74
'BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR';69
'BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR';70
'BABYFOOD,PRUNES,WO/VIT C,STR';100
'BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA';70
'BABYFOOD,PEARS,DICES,TODD';57
'BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR';44
'BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR';47
'BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR';51
'BABYFOOD,FRUIT,APPLSAUC & CHERRIES,JR';51
'BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR';66
'BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR';37
'BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR';39
'BABYFOOD,FRUIT,APPL & RASPBERRY,STR';58
'BABYFOOD,FRUIT,APPL & RASPBERRY,JR';58
'BABYFOOD,FRUIT & VEG,APPL & SWT POTATO';64
'BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR';68
'BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR';65
'BABYFOOD,FRUIT,PEARS&PNAPPL,STR';41
'BABYFOOD,FRUIT,PEARS&PNAPPL,JR';44
'BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR';63
'BABYFOOD,PEACHES,DICES,TODD';51
'BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR';70
'BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR';83
'BABYFOOD,FRUIT,APPL&BLUEBERRY,STR';61
'BABYFOOD,FRUIT,APPL&BLUEBERRY,JR';62
'BABYFOOD,JUICE,APPLE';47
'BABYFOOD,APPLE-BANANA JUC';51
'BABYFOOD,JUC,APPL&PEACH';43
'BABYFOOD,APPLE-CRANBERRY JUC';46
'BABYFOOD,JUC,APPL&PLUM';49
'BABYFOOD,JUC,APPL&PRUNE';72
'BABYFOOD,JUICE,ORANGE';45
'BABYFOOD,JUC,ORANGE&APPL';43
'BABYFOOD,JUC,ORANGE&APPL&BANANA';47
'BABYFOOD,JUC,ORANGE&APRICOT';46
'BABYFOOD,JUC,ORANGE&BANANA';50
'BABYFOOD,JUC,ORANGE&PNAPPL';48
